id,title,company,location,date_posted,job_type,interval,min_amount,max_amount,currency,is_remote,company_industry,city,seniority,year_exp,education,description
13,Data Engineer,Meta,New York,2025-12-10,part-time,yearly,1521,2426,USD,True,Consulting,Paris,intern,2,phd,"As an intern at Meta in New York, you will Architect and implement real-time and batch data processing systems at scale. Partner with software engineers to integrate data systems into core products. Define best practices for data modeling, testing, and pipeline observability."
14,Data Scientist,Google,London,2025-07-03,internship,yearly,97846,157885,GBP,False,Tech,Paris,lead,10,bachelor,"Lead a high-impact team at Google in London. Design and implement machine learning pipelines to solve complex business problems. Perform exploratory data analysis, feature engineering, and model evaluation. Present results to stakeholders and drive data-informed decision making."
15,Data Engineer,BNP Paribas,Paris,2026-01-31,internship,yearly,68361,100046,USD,True,Consulting,New York,senior,11,master,"We are looking for a senior Data Engineer at BNP Paribas (Paris). Develop ETL workflows using modern orchestration tools such as Airflow or dbt. Maintain cloud-based data infrastructure on AWS, GCP, or Azure. Ensure data reliability, lineage, and governance across the organization."
16,Data Scientist,Microsoft,Madrid,2025-10-18,part-time,yearly,965,2322,GBP,True,Industrial,Paris,intern,3,unknown,"As an intern at Microsoft in Madrid, you will Design and implement machine learning pipelines to solve complex business problems. Perform exploratory data analysis, feature engineering, and model evaluation. Present results to stakeholders and drive data-informed decision making."
17,Data Analyst,Microsoft,London,2025-04-22,full-time,yearly,1534,2183,EUR,False,Industrial,Paris,intern,11,phd,"As an intern at Microsoft in London, you will Translate complex data into clear narratives that drive strategic decisions. Write SQL queries and Python scripts to aggregate and clean large datasets. Collaborate with product and marketing teams on A/B test analysis and reporting."
18,Data Engineer,Google,Madrid,2025-08-17,internship,yearly,105148,132262,EUR,True,Finance,London,lead,8,phd,"Lead a high-impact team at Google in Madrid. Build and maintain scalable data pipelines to collect, transform, and store large volumes of data. Design data warehouse schemas and optimize query performance for analytical workloads. Collaborate with data scientists and analysts to ensure reliable data availability."
19,Data Engineer,Amazon,London,2026-02-10,full-time,yearly,44537,58504,USD,False,Consulting,Paris,junior,9,master,"Join Amazon in London as a junior team member. Architect and implement real-time and batch data processing systems at scale. Partner with software engineers to integrate data systems into core products. Define best practices for data modeling, testing, and pipeline observability."
20,ML Engineer,Microsoft,Paris,2026-03-03,full-time,yearly,39262,50743,USD,False,Finance,Paris,junior,11,phd,Join Microsoft in Paris as a junior team member. Develop end-to-end machine learning systems from data ingestion to model serving. Optimize model latency and throughput to meet production SLA requirements. Implement CI/CD pipelines for automated model training and deployment.
21,Data Analyst,Amazon,Paris,2025-11-04,internship,yearly,66501,92521,EUR,True,Consulting,New York,senior,7,master,We are looking for a senior Data Analyst at Amazon (Paris). Translate complex data into clear narratives that drive strategic decisions. Write SQL queries and Python scripts to aggregate and clean large datasets. Collaborate with product and marketing teams on A/B test analysis and reporting.
22,ML Engineer,Airbus,Berlin,2026-01-24,internship,yearly,95122,134193,EUR,True,Tech,New York,lead,4,phd,"Lead a high-impact team at Airbus in Berlin. Train, evaluate, and deploy machine learning models in scalable production environments. Build ML infrastructure including feature stores, model registries, and serving APIs. Work closely with researchers to bridge the gap between experimentation and deployment."
23,Data Scientist,Airbus,New York,2026-02-04,part-time,yearly,107620,138108,USD,False,Tech,New York,lead,4,unknown,"Lead a high-impact team at Airbus in New York. Design and implement machine learning pipelines to solve complex business problems. Perform exploratory data analysis, feature engineering, and model evaluation. Present results to stakeholders and drive data-informed decision making."
24,Data Engineer,Airbus,New York,2025-04-30,internship,yearly,44955,53798,EUR,False,Consulting,Madrid,junior,11,phd,"Join Airbus in New York as a junior team member. Build and maintain scalable data pipelines to collect, transform, and store large volumes of data. Design data warehouse schemas and optimize query performance for analytical workloads. Collaborate with data scientists and analysts to ensure reliable data availability."
25,Data Scientist,Google,New York,2025-07-06,part-time,yearly,110885,136572,GBP,False,Finance,New York,lead,6,master,Lead a high-impact team at Google in New York. Apply statistical modeling and machine learning to extract insights from large datasets. Collaborate with engineering and product teams to deploy predictive models into production. Communicate findings clearly through data visualizations and business recommendations.
26,Data Engineer,Amazon,Berlin,2025-06-12,part-time,yearly,35122,52542,EUR,False,Consulting,Paris,junior,5,unknown,"Join Amazon in Berlin as a junior team member. Architect and implement real-time and batch data processing systems at scale. Partner with software engineers to integrate data systems into core products. Define best practices for data modeling, testing, and pipeline observability."
27,AI Researcher,Google,New York,2026-03-04,part-time,yearly,1486,2347,EUR,False,Industrial,Berlin,intern,1,bachelor,"As an intern at Google in New York, you will Conduct original research on deep learning, NLP, or computer vision to advance the state of the art. Publish findings in top-tier academic venues and open-source key contributions. Collaborate with applied teams to transfer research breakthroughs into real products."
28,Data Analyst,Microsoft,Madrid,2025-06-29,internship,yearly,1369,2627,USD,False,Industrial,New York,intern,5,master,"As an intern at Microsoft in Madrid, you will Own analytical deep-dives across key business areas including growth, retention, and revenue. Maintain data documentation and ensure consistency of metrics across teams. Proactively surface insights that influence product roadmap and operational priorities."
29,AI Researcher,Meta,Madrid,2025-07-10,full-time,yearly,66671,89841,GBP,False,Finance,Paris,senior,1,master,"We are looking for a senior AI Researcher at Meta (Madrid). Explore novel model architectures and training methods to push performance boundaries. Design rigorous experiments, analyze results, and iterate on hypotheses rapidly. Stay current with the latest literature and contribute new ideas to the research community."
30,ML Engineer,BNP Paribas,Berlin,2025-04-18,internship,yearly,41355,51617,GBP,False,Finance,New York,junior,12,bachelor,Join BNP Paribas in Berlin as a junior team member. Design robust ML platforms that enable rapid experimentation and reliable deployment. Collaborate with data scientists to productionize models at scale. Monitor model drift and maintain model quality in live systems.
31,Data Analyst,Microsoft,London,2026-01-19,internship,yearly,1435,2527,EUR,True,Tech,London,intern,9,phd,"As an intern at Microsoft in London, you will Own analytical deep-dives across key business areas including growth, retention, and revenue. Maintain data documentation and ensure consistency of metrics across teams. Proactively surface insights that influence product roadmap and operational priorities."
32,AI Researcher,Amazon,Berlin,2026-02-11,full-time,yearly,36927,51591,EUR,False,Finance,Paris,junior,11,phd,"Join Amazon in Berlin as a junior team member. Explore novel model architectures and training methods to push performance boundaries. Design rigorous experiments, analyze results, and iterate on hypotheses rapidly. Stay current with the latest literature and contribute new ideas to the research community."
33,ML Engineer,Google,Paris,2026-01-26,internship,yearly,1513,2019,EUR,True,Tech,London,intern,1,master,"As an intern at Google in Paris, you will Design robust ML platforms that enable rapid experimentation and reliable deployment. Collaborate with data scientists to productionize models at scale. Monitor model drift and maintain model quality in live systems."
34,Data Engineer,Airbus,London,2025-07-30,full-time,yearly,43458,53045,EUR,False,Consulting,Madrid,junior,7,phd,"Join Airbus in London as a junior team member. Develop ETL workflows using modern orchestration tools such as Airflow or dbt. Maintain cloud-based data infrastructure on AWS, GCP, or Azure. Ensure data reliability, lineage, and governance across the organization."
35,Data Engineer,Microsoft,Paris,2025-04-25,part-time,yearly,43722,55872,EUR,True,Finance,London,junior,12,unknown,"Join Microsoft in Paris as a junior team member. Build and maintain scalable data pipelines to collect, transform, and store large volumes of data. Design data warehouse schemas and optimize query performance for analytical workloads. Collaborate with data scientists and analysts to ensure reliable data availability."
36,ML Engineer,Microsoft,Berlin,2025-06-11,part-time,yearly,34895,47454,GBP,True,Tech,Madrid,junior,6,unknown,Join Microsoft in Berlin as a junior team member. Design robust ML platforms that enable rapid experimentation and reliable deployment. Collaborate with data scientists to productionize models at scale. Monitor model drift and maintain model quality in live systems.
37,Data Analyst,Microsoft,London,2025-08-09,internship,yearly,1801,2830,USD,False,Tech,London,intern,2,bachelor,"As an intern at Microsoft in London, you will Analyze business data to identify trends, patterns, and actionable opportunities. Build dashboards and reports using tools such as Tableau, Looker, or Power BI. Partner with business stakeholders to define KPIs and measure initiative performance."
38,Data Analyst,Google,Madrid,2025-08-02,part-time,yearly,78934,98920,EUR,False,Consulting,Paris,senior,8,master,"We are looking for a senior Data Analyst at Google (Madrid). Analyze business data to identify trends, patterns, and actionable opportunities. Build dashboards and reports using tools such as Tableau, Looker, or Power BI. Partner with business stakeholders to define KPIs and measure initiative performance."
39,AI Researcher,Microsoft,Madrid,2025-04-21,part-time,yearly,1426,2558,GBP,False,Consulting,New York,intern,1,master,"As an intern at Microsoft in Madrid, you will Conduct original research on deep learning, NLP, or computer vision to advance the state of the art. Publish findings in top-tier academic venues and open-source key contributions. Collaborate with applied teams to transfer research breakthroughs into real products."
40,Data Scientist,Meta,Berlin,2025-10-22,internship,yearly,1272,2716,EUR,False,Tech,Paris,intern,1,bachelor,"As an intern at Meta in Berlin, you will Develop statistical models and ML algorithms to support product and growth initiatives. Work cross-functionally with data engineers to ensure data quality and availability. Monitor model performance in production and iterate based on real-world feedback."
41,ML Engineer,Google,Berlin,2025-05-27,part-time,yearly,116103,152591,GBP,False,Tech,London,lead,6,master,Lead a high-impact team at Google in Berlin. Design robust ML platforms that enable rapid experimentation and reliable deployment. Collaborate with data scientists to productionize models at scale. Monitor model drift and maintain model quality in live systems.
42,Data Analyst,BNP Paribas,Madrid,2026-01-20,part-time,yearly,30927,54131,EUR,True,Finance,London,junior,10,unknown,"Join BNP Paribas in Madrid as a junior team member. Own analytical deep-dives across key business areas including growth, retention, and revenue. Maintain data documentation and ensure consistency of metrics across teams. Proactively surface insights that influence product roadmap and operational priorities."
43,AI Researcher,BNP Paribas,New York,2026-01-10,part-time,yearly,74011,91376,EUR,False,Consulting,Berlin,senior,10,unknown,"We are looking for a senior AI Researcher at BNP Paribas (New York). Explore novel model architectures and training methods to push performance boundaries. Design rigorous experiments, analyze results, and iterate on hypotheses rapidly. Stay current with the latest literature and contribute new ideas to the research community."
44,Data Analyst,BNP Paribas,London,2026-03-24,part-time,yearly,37975,59833,USD,True,Tech,Paris,junior,11,master,"Join BNP Paribas in London as a junior team member. Own analytical deep-dives across key business areas including growth, retention, and revenue. Maintain data documentation and ensure consistency of metrics across teams. Proactively surface insights that influence product roadmap and operational priorities."
45,Data Engineer,Google,Paris,2026-01-21,full-time,yearly,33443,49325,USD,True,Industrial,London,junior,9,unknown,"Join Google in Paris as a junior team member. Architect and implement real-time and batch data processing systems at scale. Partner with software engineers to integrate data systems into core products. Define best practices for data modeling, testing, and pipeline observability."
46,AI Researcher,BNP Paribas,Berlin,2026-03-21,internship,yearly,41903,50503,GBP,False,Finance,Paris,junior,5,phd,Join BNP Paribas in Berlin as a junior team member. Lead research projects on foundational AI topics aligned with long-term product goals. Mentor junior researchers and foster a culture of intellectual curiosity. Engage with external academic partners and represent the company at conferences.
47,Data Engineer,Meta,New York,2025-12-23,part-time,yearly,40722,54541,EUR,True,Consulting,Berlin,junior,11,unknown,"Join Meta in New York as a junior team member. Develop ETL workflows using modern orchestration tools such as Airflow or dbt. Maintain cloud-based data infrastructure on AWS, GCP, or Azure. Ensure data reliability, lineage, and governance across the organization."
48,Data Analyst,Meta,Madrid,2025-04-11,internship,yearly,112320,122745,EUR,True,Tech,Madrid,lead,9,bachelor,"Lead a high-impact team at Meta in Madrid. Own analytical deep-dives across key business areas including growth, retention, and revenue. Maintain data documentation and ensure consistency of metrics across teams. Proactively surface insights that influence product roadmap and operational priorities."
49,Data Scientist,Meta,Berlin,2025-05-24,internship,yearly,64586,99631,EUR,False,Industrial,London,senior,2,master,We are looking for a senior Data Scientist at Meta (Berlin). Develop statistical models and ML algorithms to support product and growth initiatives. Work cross-functionally with data engineers to ensure data quality and availability. Monitor model performance in production and iterate based on real-world feedback.
50,Data Scientist,Airbus,Berlin,2025-10-04,internship,yearly,92538,138363,EUR,False,Industrial,New York,lead,7,phd,"Lead a high-impact team at Airbus in Berlin. Design and implement machine learning pipelines to solve complex business problems. Perform exploratory data analysis, feature engineering, and model evaluation. Present results to stakeholders and drive data-informed decision making."
51,Data Scientist,Airbus,Madrid,2026-03-27,internship,yearly,35704,49061,USD,True,Finance,Paris,junior,7,phd,Join Airbus in Madrid as a junior team member. Develop statistical models and ML algorithms to support product and growth initiatives. Work cross-functionally with data engineers to ensure data quality and availability. Monitor model performance in production and iterate based on real-world feedback.
52,ML Engineer,Airbus,Paris,2025-09-17,internship,yearly,102308,126955,GBP,True,Consulting,Paris,lead,6,bachelor,"Lead a high-impact team at Airbus in Paris. Train, evaluate, and deploy machine learning models in scalable production environments. Build ML infrastructure including feature stores, model registries, and serving APIs. Work closely with researchers to bridge the gap between experimentation and deployment."
53,Data Analyst,Microsoft,Madrid,2025-06-17,part-time,yearly,118500,137566,GBP,False,Consulting,Paris,lead,10,master,"Lead a high-impact team at Microsoft in Madrid. Own analytical deep-dives across key business areas including growth, retention, and revenue. Maintain data documentation and ensure consistency of metrics across teams. Proactively surface insights that influence product roadmap and operational priorities."
54,ML Engineer,Amazon,Paris,2025-10-06,part-time,yearly,1654,2382,USD,True,Industrial,Berlin,intern,5,unknown,"As an intern at Amazon in Paris, you will Design robust ML platforms that enable rapid experimentation and reliable deployment. Collaborate with data scientists to productionize models at scale. Monitor model drift and maintain model quality in live systems."
55,Data Engineer,BNP Paribas,Madrid,2025-12-24,full-time,yearly,1629,2558,GBP,False,Industrial,Berlin,intern,4,unknown,"As an intern at BNP Paribas in Madrid, you will Develop ETL workflows using modern orchestration tools such as Airflow or dbt. Maintain cloud-based data infrastructure on AWS, GCP, or Azure. Ensure data reliability, lineage, and governance across the organization."
56,Data Engineer,Google,New York,2025-11-24,full-time,yearly,65774,108900,GBP,True,Industrial,Berlin,senior,11,bachelor,"We are looking for a senior Data Engineer at Google (New York). Architect and implement real-time and batch data processing systems at scale. Partner with software engineers to integrate data systems into core products. Define best practices for data modeling, testing, and pipeline observability."
57,Data Scientist,Google,New York,2025-10-12,part-time,yearly,78728,84156,USD,True,Industrial,Berlin,senior,7,phd,We are looking for a senior Data Scientist at Google (New York). Develop statistical models and ML algorithms to support product and growth initiatives. Work cross-functionally with data engineers to ensure data quality and availability. Monitor model performance in production and iterate based on real-world feedback.
58,AI Researcher,Amazon,New York,2026-03-13,full-time,yearly,43937,53905,EUR,True,Industrial,Berlin,junior,12,bachelor,"Join Amazon in New York as a junior team member. Explore novel model architectures and training methods to push performance boundaries. Design rigorous experiments, analyze results, and iterate on hypotheses rapidly. Stay current with the latest literature and contribute new ideas to the research community."
59,Data Engineer,Microsoft,Madrid,2025-10-29,full-time,yearly,67183,90804,EUR,False,Finance,Berlin,senior,8,master,"We are looking for a senior Data Engineer at Microsoft (Madrid). Develop ETL workflows using modern orchestration tools such as Airflow or dbt. Maintain cloud-based data infrastructure on AWS, GCP, or Azure. Ensure data reliability, lineage, and governance across the organization."
60,Data Scientist,Amazon,Paris,2025-12-23,full-time,yearly,1631,2050,GBP,False,Tech,Berlin,intern,1,bachelor,"As an intern at Amazon in Paris, you will Design and implement machine learning pipelines to solve complex business problems. Perform exploratory data analysis, feature engineering, and model evaluation. Present results to stakeholders and drive data-informed decision making."
61,Data Analyst,Google,New York,2025-11-29,part-time,yearly,38399,48367,USD,True,Tech,Paris,junior,10,bachelor,"Join Google in New York as a junior team member. Analyze business data to identify trends, patterns, and actionable opportunities. Build dashboards and reports using tools such as Tableau, Looker, or Power BI. Partner with business stakeholders to define KPIs and measure initiative performance."
62,Data Scientist,Microsoft,Berlin,2026-03-21,full-time,yearly,39460,50360,EUR,False,Industrial,Paris,junior,1,phd,Join Microsoft in Berlin as a junior team member. Apply statistical modeling and machine learning to extract insights from large datasets. Collaborate with engineering and product teams to deploy predictive models into production. Communicate findings clearly through data visualizations and business recommendations.
63,AI Researcher,Meta,New York,2025-11-01,full-time,yearly,1198,2009,USD,True,Consulting,Paris,intern,4,phd,"As an intern at Meta in New York, you will Lead research projects on foundational AI topics aligned with long-term product goals. Mentor junior researchers and foster a culture of intellectual curiosity. Engage with external academic partners and represent the company at conferences."
64,ML Engineer,Amazon,Madrid,2025-11-17,internship,yearly,79896,94804,EUR,False,Industrial,London,senior,3,bachelor,"We are looking for a senior ML Engineer at Amazon (Madrid). Train, evaluate, and deploy machine learning models in scalable production environments. Build ML infrastructure including feature stores, model registries, and serving APIs. Work closely with researchers to bridge the gap between experimentation and deployment."
65,Data Engineer,Amazon,London,2026-01-01,internship,yearly,1664,2243,EUR,False,Tech,Madrid,intern,11,bachelor,"As an intern at Amazon in London, you will Architect and implement real-time and batch data processing systems at scale. Partner with software engineers to integrate data systems into core products. Define best practices for data modeling, testing, and pipeline observability."
66,Data Engineer,Meta,Madrid,2025-12-14,part-time,yearly,114409,138891,EUR,True,Consulting,Paris,lead,5,phd,"Lead a high-impact team at Meta in Madrid. Develop ETL workflows using modern orchestration tools such as Airflow or dbt. Maintain cloud-based data infrastructure on AWS, GCP, or Azure. Ensure data reliability, lineage, and governance across the organization."
67,ML Engineer,Airbus,New York,2025-10-23,internship,yearly,78687,108748,EUR,False,Industrial,Madrid,senior,4,unknown,"We are looking for a senior ML Engineer at Airbus (New York). Train, evaluate, and deploy machine learning models in scalable production environments. Build ML infrastructure including feature stores, model registries, and serving APIs. Work closely with researchers to bridge the gap between experimentation and deployment."
68,Data Engineer,BNP Paribas,London,2025-06-20,full-time,yearly,31637,59976,EUR,True,Industrial,London,junior,3,master,"Join BNP Paribas in London as a junior team member. Develop ETL workflows using modern orchestration tools such as Airflow or dbt. Maintain cloud-based data infrastructure on AWS, GCP, or Azure. Ensure data reliability, lineage, and governance across the organization."
69,AI Researcher,Meta,London,2026-02-28,internship,yearly,69443,98184,USD,False,Consulting,Berlin,senior,11,bachelor,"We are looking for a senior AI Researcher at Meta (London). Explore novel model architectures and training methods to push performance boundaries. Design rigorous experiments, analyze results, and iterate on hypotheses rapidly. Stay current with the latest literature and contribute new ideas to the research community."
70,Data Scientist,Amazon,Madrid,2025-10-20,internship,yearly,97136,126944,GBP,True,Consulting,Berlin,lead,5,master,Lead a high-impact team at Amazon in Madrid. Apply statistical modeling and machine learning to extract insights from large datasets. Collaborate with engineering and product teams to deploy predictive models into production. Communicate findings clearly through data visualizations and business recommendations.
71,Data Analyst,Airbus,Paris,2025-12-11,internship,yearly,903,2922,GBP,True,Finance,New York,intern,5,master,"As an intern at Airbus in Paris, you will Analyze business data to identify trends, patterns, and actionable opportunities. Build dashboards and reports using tools such as Tableau, Looker, or Power BI. Partner with business stakeholders to define KPIs and measure initiative performance."
72,AI Researcher,BNP Paribas,Paris,2025-09-11,part-time,yearly,35782,46002,USD,True,Industrial,London,junior,3,bachelor,"Join BNP Paribas in Paris as a junior team member. Explore novel model architectures and training methods to push performance boundaries. Design rigorous experiments, analyze results, and iterate on hypotheses rapidly. Stay current with the latest literature and contribute new ideas to the research community."
73,AI Researcher,BNP Paribas,Berlin,2025-07-20,internship,yearly,1688,2785,EUR,False,Industrial,Berlin,intern,5,phd,"As an intern at BNP Paribas in Berlin, you will Explore novel model architectures and training methods to push performance boundaries. Design rigorous experiments, analyze results, and iterate on hypotheses rapidly. Stay current with the latest literature and contribute new ideas to the research community."
74,Data Analyst,Google,London,2025-12-15,part-time,yearly,71125,99444,EUR,False,Consulting,Paris,senior,8,bachelor,We are looking for a senior Data Analyst at Google (London). Translate complex data into clear narratives that drive strategic decisions. Write SQL queries and Python scripts to aggregate and clean large datasets. Collaborate with product and marketing teams on A/B test analysis and reporting.
75,AI Researcher,Microsoft,New York,2025-08-21,internship,yearly,1861,2050,USD,False,Tech,Madrid,intern,4,bachelor,"As an intern at Microsoft in New York, you will Conduct original research on deep learning, NLP, or computer vision to advance the state of the art. Publish findings in top-tier academic venues and open-source key contributions. Collaborate with applied teams to transfer research breakthroughs into real products."
76,Data Analyst,Airbus,New York,2026-03-15,full-time,yearly,103435,125349,USD,False,Consulting,London,lead,11,phd,"Lead a high-impact team at Airbus in New York. Own analytical deep-dives across key business areas including growth, retention, and revenue. Maintain data documentation and ensure consistency of metrics across teams. Proactively surface insights that influence product roadmap and operational priorities."
77,ML Engineer,Airbus,Paris,2025-09-04,full-time,yearly,1431,2770,USD,True,Consulting,Madrid,intern,2,unknown,"As an intern at Airbus in Paris, you will Train, evaluate, and deploy machine learning models in scalable production environments. Build ML infrastructure including feature stores, model registries, and serving APIs. Work closely with researchers to bridge the gap between experimentation and deployment."
78,Data Scientist,Airbus,Madrid,2025-09-16,part-time,yearly,102938,130953,EUR,False,Tech,Berlin,lead,7,unknown,"Lead a high-impact team at Airbus in Madrid. Design and implement machine learning pipelines to solve complex business problems. Perform exploratory data analysis, feature engineering, and model evaluation. Present results to stakeholders and drive data-informed decision making."
79,Data Analyst,BNP Paribas,Paris,2025-05-09,full-time,yearly,76187,89260,EUR,False,Finance,London,senior,5,unknown,"We are looking for a senior Data Analyst at BNP Paribas (Paris). Analyze business data to identify trends, patterns, and actionable opportunities. Build dashboards and reports using tools such as Tableau, Looker, or Power BI. Partner with business stakeholders to define KPIs and measure initiative performance."
80,Data Analyst,Airbus,London,2025-11-06,full-time,yearly,116710,136024,GBP,True,Consulting,Paris,lead,1,unknown,"Lead a high-impact team at Airbus in London. Own analytical deep-dives across key business areas including growth, retention, and revenue. Maintain data documentation and ensure consistency of metrics across teams. Proactively surface insights that influence product roadmap and operational priorities."
81,Data Engineer,BNP Paribas,Madrid,2026-02-05,part-time,yearly,40931,56895,EUR,False,Industrial,Madrid,junior,8,bachelor,"Join BNP Paribas in Madrid as a junior team member. Build and maintain scalable data pipelines to collect, transform, and store large volumes of data. Design data warehouse schemas and optimize query performance for analytical workloads. Collaborate with data scientists and analysts to ensure reliable data availability."
82,Data Engineer,Google,New York,2025-09-22,part-time,yearly,93980,155006,USD,False,Industrial,New York,lead,8,master,"Lead a high-impact team at Google in New York. Architect and implement real-time and batch data processing systems at scale. Partner with software engineers to integrate data systems into core products. Define best practices for data modeling, testing, and pipeline observability."
83,ML Engineer,Airbus,New York,2026-01-18,part-time,yearly,112944,133956,USD,False,Consulting,Madrid,lead,9,phd,Lead a high-impact team at Airbus in New York. Design robust ML platforms that enable rapid experimentation and reliable deployment. Collaborate with data scientists to productionize models at scale. Monitor model drift and maintain model quality in live systems.
84,AI Researcher,Microsoft,Berlin,2025-06-01,full-time,yearly,95813,152075,EUR,False,Finance,Madrid,lead,11,phd,"Lead a high-impact team at Microsoft in Berlin. Conduct original research on deep learning, NLP, or computer vision to advance the state of the art. Publish findings in top-tier academic venues and open-source key contributions. Collaborate with applied teams to transfer research breakthroughs into real products."
85,Data Analyst,BNP Paribas,London,2026-02-05,part-time,yearly,37289,52618,EUR,False,Finance,Madrid,junior,0,master,"Join BNP Paribas in London as a junior team member. Analyze business data to identify trends, patterns, and actionable opportunities. Build dashboards and reports using tools such as Tableau, Looker, or Power BI. Partner with business stakeholders to define KPIs and measure initiative performance."
86,Data Scientist,Airbus,Madrid,2025-04-26,internship,yearly,94514,149268,EUR,True,Finance,London,lead,12,master,"Lead a high-impact team at Airbus in Madrid. Design and implement machine learning pipelines to solve complex business problems. Perform exploratory data analysis, feature engineering, and model evaluation. Present results to stakeholders and drive data-informed decision making."
87,Data Engineer,Amazon,New York,2025-12-01,internship,yearly,70828,86519,GBP,True,Industrial,Madrid,senior,0,bachelor,"We are looking for a senior Data Engineer at Amazon (New York). Develop ETL workflows using modern orchestration tools such as Airflow or dbt. Maintain cloud-based data infrastructure on AWS, GCP, or Azure. Ensure data reliability, lineage, and governance across the organization."
88,AI Researcher,BNP Paribas,London,2025-12-11,full-time,yearly,91039,147369,EUR,False,Tech,New York,lead,0,master,Lead a high-impact team at BNP Paribas in London. Lead research projects on foundational AI topics aligned with long-term product goals. Mentor junior researchers and foster a culture of intellectual curiosity. Engage with external academic partners and represent the company at conferences.
